time,wind_speed,wind_dir,wd_cat
2023-06-27 19:00:00,8,269,W
2023-06-27 20:00:00,7,284,W
2023-06-27 21:00:00,7,277,W
2023-06-27 22:00:00,7,283,W
2023-06-27 23:00:00,7,280,W
2023-06-28 00:00:00,7,272,W
2023-06-28 01:00:00,8,257,W
2023-06-28 02:00:00,9,245,SW
2023-06-28 03:00:00,10,236,SW
2023-06-28 04:00:00,12,231,SW
2023-06-28 05:00:00,12,232,SW
2023-06-28 06:00:00,12,234,SW
2023-06-28 07:00:00,12,231,SW
2023-06-28 08:00:00,13,225,SW
2023-06-28 09:00:00,13,220,SW
2023-06-28 10:00:00,12,215,SW
2023-06-28 11:00:00,12,213,SW
2023-06-28 12:00:00,10,215,SW
2023-06-28 13:00:00,9,219,SW
2023-06-28 14:00:00,7,224,SW
2023-06-28 15:00:00,7,224,SW
2023-06-28 16:00:00,5,232,SW
2023-06-28 17:00:00,5,242,SW
2023-06-28 18:00:00,4,255,W
2023-06-28 19:00:00,4,262,W
2023-06-28 20:00:00,4,265,W
2023-06-28 21:00:00,4,262,W
2023-06-28 22:00:00,5,260,W
2023-06-28 23:00:00,4,239,SW
2023-06-29 00:00:00,4,225,SW
2023-06-29 01:00:00,4,214,SW
2023-06-29 02:00:00,5,202,S
2023-06-29 03:00:00,5,196,S
2023-06-29 04:00:00,5,174,S
2023-06-29 05:00:00,5,164,S
2023-06-29 06:00:00,4,165,S
2023-06-29 07:00:00,3,160,S
2023-06-29 08:00:00,1,164,S
2023-06-29 09:00:00,1,220,SW
2023-06-29 10:00:00,2,246,SW
2023-06-29 11:00:00,1,246,SW
2023-06-29 12:00:00,1,257,W
2023-06-29 13:00:00,2,292,W
2023-06-29 14:00:00,2,308,NW
2023-06-29 15:00:00,3,323,NW
2023-06-29 16:00:00,3,325,NW
2023-06-29 17:00:00,3,319,NW
2023-06-29 18:00:00,3,307,NW
2023-06-29 19:00:00,3,304,NW
2023-06-29 20:00:00,3,300,NW
2023-06-29 21:00:00,3,296,NW
2023-06-29 22:00:00,4,283,W
2023-06-29 23:00:00,3,264,W
2023-06-30 00:00:00,3,239,SW
2023-06-30 01:00:00,4,228,SW
2023-06-30 02:00:00,4,212,SW
2023-06-30 03:00:00,5,187,S
2023-06-30 04:00:00,7,175,S
2023-06-30 05:00:00,7,175,S
2023-06-30 06:00:00,7,180,S
2023-06-30 07:00:00,6,186,S
2023-06-30 08:00:00,6,189,S
2023-06-30 09:00:00,5,193,S
2023-06-30 10:00:00,4,210,SW
2023-06-30 11:00:00,3,214,SW
2023-06-30 12:00:00,4,219,SW
